id,image_url,name
zavtraki_192,https://www.povarenok.ru/data/cache/2013jun/17/59/176281_35105-710x550x.jpg,Творожно-апельсиновая запеканка
zavtraki_193,https://www.povarenok.ru/data/cache/2013jun/17/55/175329_61648-710x550x.jpg,"Слойки с кремом ""Патисьер"""
zavtraki_194,https://www.povarenok.ru/data/cache/2016jan/19/38/1413039_33129-710x550x.jpg,"Халва ""Моя любимая"""
zavtraki_195,https://www.povarenok.ru/data/cache/2013jul/12/41/470345_78114-710x550x.jpg,Пирожки с капустой от Чучелки
zavtraki_196,https://www.povarenok.ru/data/cache/2013feb/17/09/86086_54723-710x550x.jpg,Нетрадиционный чизкейк
zavtraki_197,https://www.povarenok.ru/data/cache/2012dec/17/18/51496_88929-710x550x.jpg,Хичины балкарские
zavtraki_198,https://www.povarenok.ru/images/recipes/34/3452/345287.jpg,"Медовый торт ""Леопард"""
zavtraki_199,https://www.povarenok.ru/data/cache/2013jun/17/32/175233_32826-710x550x.jpg,Хичины
zavtraki_200,https://www.povarenok.ru/data/cache/2016may/23/15/1587306_46702-710x550x.jpg,Яичные конверты с острова Тенерифе
zavtraki_201,https://www.povarenok.ru/data/cache/2015oct/29/02/1327471_65845-710x550x.jpg,Тыква в сметанно-чесночном соусе
zavtraki_202,https://www.povarenok.ru/data/cache/2013jun/17/03/176320_81460-710x550x.jpg,"Мясные пирожки ""Сигареты"""
zavtraki_203,https://www.povarenok.ru/data/cache/2015sep/19/20/1270416_93398-710x550x.jpg,Краффины
zavtraki_204,https://www.povarenok.ru/images/recipes/36/3625/362584.jpg,"Котлеты овсяные ""Сытый папа"""
zavtraki_205,https://www.povarenok.ru/data/cache/2013aug/11/43/489209_78744-710x550x.jpg,Булочки с колбасой
zavtraki_206,https://www.povarenok.ru/data/cache/2013jun/17/31/175227_47410-710x550x.jpg,"Творожный пирог ""Зебра"""
zavtraki_207,https://www.povarenok.ru/data/cache/2012dec/17/53/51631_77657-710x550x.jpg,Рис для роллов
zavtraki_208,https://www.povarenok.ru/data/cache/2015jan/06/28/989674_99889-710x550x.jpg,Узбекская слоеная самса
zavtraki_209,https://www.povarenok.ru/data/cache/2013dec/18/05/596257_57662-710x550x.jpg,Фасолевый соус
zavtraki_210,https://www.povarenok.ru/data/cache/2013jan/24/04/68504_26711-710x550x.jpg,Вертуны
supy_1,https://www.povarenok.ru/data/cache/2013jul/09/13/468801_66669-710x550x.jpg,Солянка
supy_2,https://www.povarenok.ru/images/recipes/44/4451/445180.jpg,Суп-пюре из кабачков
supy_3,https://www.povarenok.ru/data/cache/2014may/06/25/738965_66961-710x550x.jpg,Овощной суп с сырными шариками
supy_4,https://www.povarenok.ru/data/cache/2013jul/11/34/469834_24832-710x550x.jpg,"Суп ""Проще простого"""
supy_5,https://www.povarenok.ru/images/recipes/7/744/74492.jpg,"Суп ""Затируха"""
supy_6,https://www.povarenok.ru/data/cache/2013jul/11/34/469836_97355-710x550x.jpg,"Крестьянский суп ""Затируха"""
supy_7,https://www.povarenok.ru/data/cache/2013feb/04/16/75845_79753-710x550x.jpg,Французский тыквенный суп
supy_8,https://www.povarenok.ru/data/cache/2013jul/11/36/469848_22749-710x550x.jpg,Суп торговца скота из Тапеи
supy_9,https://www.povarenok.ru/data/cache/2013jul/11/34/469837_39803-710x550x.jpg,Бархатный грибной суп
supy_10,https://www.povarenok.ru/data/cache/2015mar/10/50/1060401_55851-710x550x.jpg,"Суп ""Остановиться невозможно"""
supy_11,https://www.povarenok.ru/data/cache/2013jul/11/43/470198_60021-710x550x.jpg,Луковый суп с капустой и лимоном
supy_12,https://www.povarenok.ru/data/cache/2013jul/18/54/474896_84863-710x550x.jpg,Борщ
supy_13,https://www.povarenok.ru/data/cache/2013apr/19/29/137251_92567-710x550x.jpg,"Суп ""Ешь и худей"""
